color_names	hex_codes 
gradient_0	#FFF7FB 
gradient_1	#ECE7F2 
gradient_2	#D0D1E6 
gradient_3	#A6BDDB 
gradient_4	#74A9CF 
gradient_5	#3690C0 
gradient_6	#0570B0 
gradient_7	#045A8D 
gradient_8	#023858 
na_color	#7F7F7F
